Country,State,City
Afghanistan ,Andaman and Nicobar Islands,Abohar
Albania ,Andhra Pradesh,Adilabad
Algeria ,Arunachal Pradesh,Agartala
American Samoa ,Assam,Agra
Andorra ,Bihar,Ahmadnagar
Angola ,Chhattisgarh,Ahmedabad
Anguilla ,Dadra and Nagar Haveli and Daman and Diu,Aizawl  
Antigua & Barbuda ,Delhi,Ajmer
Argentina ,Goa,Akola
Armenia ,Gujarat,Alappuzha
Aruba ,Haryana,Aligarh
Australia ,Himachal Pradesh,Alipurduar
Austria ,Jharkhand,Allahabad
Azerbaijan ,Karnataka,Alwar
"Bahamas, The ",Kerala,Ambala
Bahrain ,Lakshadweep,Amaravati
Bangladesh ,Madhya Pradesh,Amritsar
Barbados ,Maharashtra,Asansol
Belarus ,Manipur,Aurangabad
Belgium ,Meghalaya,Aurangabad
Belize ,Mizoram,Bakshpur
Benin ,Nagaland,Bamanpuri
Bermuda ,Odisha,Baramula
Bhutan ,Puducherry,Barddhaman
Bolivia ,Punjab,Bareilly
Bosnia & Herzegovina ,Rajasthan,Belgaum
Botswana ,Sikkim,Bellary
Brazil ,Tamil Nadu,Bengaluru
British Virgin Is. ,Telangana,Bhagalpur
Brunei ,Tripura,Bharatpur
Bulgaria ,Chandigarh,Bharauri
Burkina Faso ,Jammu and Kashmir,Bhatpara
Burma ,Ladakh,Bhavnagar
Burundi ,Uttar Pradesh,Bhilai
Cambodia ,Uttarakhand,Bhilwara
Cameroon ,West Bengal,Bhiwandi
Canada ,delhi,Bhiwani
Cape Verde ,,Bhopal 
Cayman Islands ,,Bhubaneshwar
Central African Rep. ,,Bhuj
Chad ,,Bhusaval
Chile ,,Bidar
China ,,Bijapur
Colombia ,,Bikaner
Comoros ,,Bilaspur
"Congo, Dem. Rep. ",,Brahmapur
"Congo, Repub. of the ",,Budaun
Cook Islands ,,Bulandshahr
Costa Rica ,,Calicut
Cote d'Ivoire ,,Chanda
Croatia ,,Chandigarh 
Cuba ,,Chennai
